"train/global_step","Spath_len_fast_baseline - eval_mae","Spath_len_fast_baseline - eval_mae__MIN","Spath_len_fast_baseline - eval_mae__MAX","Spath_len_fast_baseline - _step","Spath_len_fast_baseline - _step__MIN","Spath_len_fast_baseline - _step__MAX"
"51","10.552941176470588","10.552941176470588","10.552941176470588","54","54","54"
"101","11.4","11.4","11.4","108","108","108"
"151","10.447058823529412","10.447058823529412","10.447058823529412","162","162","162"
"201","10.188235294117646","10.188235294117646","10.188235294117646","216","216","216"
"251","11.08235294117647","11.08235294117647","11.08235294117647","270","270","270"
"301","10.152941176470588","10.152941176470588","10.152941176470588","324","324","324"
"351","9.764705882352942","9.764705882352942","9.764705882352942","378","378","378"
"401","10.811764705882354","10.811764705882354","10.811764705882354","432","432","432"
"451","9.882352941176471","9.882352941176471","9.882352941176471","486","486","486"
"501","8.929411764705883","8.929411764705883","8.929411764705883","540","540","540"
"551","10.635294117647058","10.635294117647058","10.635294117647058","594","594","594"
"601","9.31764705882353","9.31764705882353","9.31764705882353","648","648","648"
"651","9.435294117647059","9.435294117647059","9.435294117647059","702","702","702"
"701","8.870588235294118","8.870588235294118","8.870588235294118","756","756","756"
"751","8.094117647058823","8.094117647058823","8.094117647058823","810","810","810"
"801","8.494117647058824","8.494117647058824","8.494117647058824","864","864","864"
"851","9.494117647058824","9.494117647058824","9.494117647058824","918","918","918"
"901","8.788235294117648","8.788235294117648","8.788235294117648","972","972","972"
"951","8.941176470588236","8.941176470588236","8.941176470588236","1026","1026","1026"
"1001","8.870588235294118","8.870588235294118","8.870588235294118","1080","1080","1080"
"1051","7.682352941176471","7.682352941176471","7.682352941176471","1134","1134","1134"
"1101","8.894117647058824","8.894117647058824","8.894117647058824","1188","1188","1188"
"1151","8.964705882352941","8.964705882352941","8.964705882352941","1242","1242","1242"
"1201","9.329411764705883","9.329411764705883","9.329411764705883","1296","1296","1296"
"1251","10.094117647058823","10.094117647058823","10.094117647058823","1350","1350","1350"
"1301","9.68235294117647","9.68235294117647","9.68235294117647","1404","1404","1404"
"1351","8.435294117647059","8.435294117647059","8.435294117647059","1458","1458","1458"
"1401","8.435294117647059","8.435294117647059","8.435294117647059","1512","1512","1512"
"1451","7.764705882352941","7.764705882352941","7.764705882352941","1566","1566","1566"
"1501","9.070588235294117","9.070588235294117","9.070588235294117","1620","1620","1620"
"1551","9.870588235294118","9.870588235294118","9.870588235294118","1674","1674","1674"
"1601","7.647058823529412","7.647058823529412","7.647058823529412","1728","1728","1728"
"1651","8.31764705882353","8.31764705882353","8.31764705882353","1782","1782","1782"
"1701","7.6","7.6","7.6","1836","1836","1836"
"1751","7.635294117647059","7.635294117647059","7.635294117647059","1890","1890","1890"
"1801","7.023529411764706","7.023529411764706","7.023529411764706","1944","1944","1944"
"1851","8.211764705882352","8.211764705882352","8.211764705882352","1998","1998","1998"
"1901","7.741176470588235","7.741176470588235","7.741176470588235","2052","2052","2052"
"1951","13.423529411764706","13.423529411764706","13.423529411764706","2106","2106","2106"
"2001","7.4","7.4","7.4","2160","2160","2160"
"2051","7.7176470588235295","7.7176470588235295","7.7176470588235295","2214","2214","2214"
"2101","7.130952380952381","7.130952380952381","7.130952380952381","2268","2268","2268"
"2151","7.705882352941177","7.705882352941177","7.705882352941177","2322","2322","2322"
"2201","7.117647058823529","7.117647058823529","7.117647058823529","2376","2376","2376"
"2251","7.152941176470589","7.152941176470589","7.152941176470589","2430","2430","2430"
"2301","6.952941176470588","6.952941176470588","6.952941176470588","2484","2484","2484"
"2351","7.0588235294117645","7.0588235294117645","7.0588235294117645","2538","2538","2538"
"2401","7.1647058823529415","7.1647058823529415","7.1647058823529415","2592","2592","2592"
"2451","6.364705882352941","6.364705882352941","6.364705882352941","2646","2646","2646"
"2501","6.964705882352941","6.964705882352941","6.964705882352941","2700","2700","2700"
"2551","6.858823529411764","6.858823529411764","6.858823529411764","2754","2754","2754"
"2601","7.4941176470588236","7.4941176470588236","7.4941176470588236","2808","2808","2808"
"2651","7.447058823529412","7.447058823529412","7.447058823529412","2862","2862","2862"
"2701","7.317647058823529","7.317647058823529","7.317647058823529","2916","2916","2916"
"2751","8.51764705882353","8.51764705882353","8.51764705882353","2970","2970","2970"
"2801","8.623529411764705","8.623529411764705","8.623529411764705","3024","3024","3024"
"2851","8.282352941176471","8.282352941176471","8.282352941176471","3078","3078","3078"
"2901","8.447058823529412","8.447058823529412","8.447058823529412","3132","3132","3132"
"2951","8.341176470588236","8.341176470588236","8.341176470588236","3186","3186","3186"
"3001","8.529411764705882","8.529411764705882","8.529411764705882","3240","3240","3240"
"3051","8.282352941176471","8.282352941176471","8.282352941176471","3294","3294","3294"
"3101","8.035294117647059","8.035294117647059","8.035294117647059","3348","3348","3348"
"3151","7.823529411764706","7.823529411764706","7.823529411764706","3402","3402","3402"
"3201","8.24705882352941","8.24705882352941","8.24705882352941","3456","3456","3456"
"3251","7.905882352941177","7.905882352941177","7.905882352941177","3510","3510","3510"
"3301","8.305882352941177","8.305882352941177","8.305882352941177","3564","3564","3564"
"3351","7.635294117647059","7.635294117647059","7.635294117647059","3618","3618","3618"
"3401","7.811764705882353","7.811764705882353","7.811764705882353","3672","3672","3672"
"3451","7.882352941176471","7.882352941176471","7.882352941176471","3726","3726","3726"
"3501","7.894117647058824","7.894117647058824","7.894117647058824","3780","3780","3780"
"3551","23.4","23.4","23.4","3834","3834","3834"
"3601","18.658823529411766","18.658823529411766","18.658823529411766","3888","3888","3888"
"3651","7.152941176470589","7.152941176470589","7.152941176470589","3942","3942","3942"
"3701","7.341176470588235","7.341176470588235","7.341176470588235","3996","3996","3996"
"3751","7.529411764705882","7.529411764705882","7.529411764705882","4050","4050","4050"
"3801","7.776470588235294","7.776470588235294","7.776470588235294","4104","4104","4104"
"3851","7.270588235294118","7.270588235294118","7.270588235294118","4158","4158","4158"
"3901","7.129411764705883","7.129411764705883","7.129411764705883","4212","4212","4212"
"3951","7.752941176470588","7.752941176470588","7.752941176470588","4266","4266","4266"
"4001","7.0588235294117645","7.0588235294117645","7.0588235294117645","4320","4320","4320"
"4051","6.305882352941176","6.305882352941176","6.305882352941176","4374","4374","4374"
"4101","6.764705882352941","6.764705882352941","6.764705882352941","4428","4428","4428"
"4151","6.447058823529412","6.447058823529412","6.447058823529412","4482","4482","4482"
"4201","7.247058823529412","7.247058823529412","7.247058823529412","4536","4536","4536"
"4251","7.988235294117647","7.988235294117647","7.988235294117647","4590","4590","4590"
"4301","6.270588235294118","6.270588235294118","6.270588235294118","4644","4644","4644"
"4351","7.764705882352941","7.764705882352941","7.764705882352941","4698","4698","4698"
"4401","5.8","5.8","5.8","4752","4752","4752"
"4451","5.694117647058824","5.694117647058824","5.694117647058824","4806","4806","4806"
"4501","5.6117647058823525","5.6117647058823525","5.6117647058823525","4860","4860","4860"
"4551","6.8352941176470585","6.8352941176470585","6.8352941176470585","4914","4914","4914"
"4601","6.317647058823529","6.317647058823529","6.317647058823529","4968","4968","4968"
"4651","32.976470588235294","32.976470588235294","32.976470588235294","5022","5022","5022"
"4701","5.7176470588235295","5.7176470588235295","5.7176470588235295","5076","5076","5076"
"4751","6.870588235294117","6.870588235294117","6.870588235294117","5130","5130","5130"
"4801","5.847058823529411","5.847058823529411","5.847058823529411","5184","5184","5184"
"4851","5.694117647058824","5.694117647058824","5.694117647058824","5238","5238","5238"
"4901","5.211764705882353","5.211764705882353","5.211764705882353","5292","5292","5292"
"4951","6.129411764705883","6.129411764705883","6.129411764705883","5346","5346","5346"
"5001","5.658823529411765","5.658823529411765","5.658823529411765","5400","5400","5400"
"5051","7.070588235294117","7.070588235294117","7.070588235294117","5454","5454","5454"
"5101","5.905882352941177","5.905882352941177","5.905882352941177","5508","5508","5508"
"5151","5.929411764705883","5.929411764705883","5.929411764705883","5562","5562","5562"
"5201","5.670588235294118","5.670588235294118","5.670588235294118","5616","5616","5616"
"5251","6.294117647058823","6.294117647058823","6.294117647058823","5670","5670","5670"
"5301","5.705882352941177","5.705882352941177","5.705882352941177","5724","5724","5724"